BehaviorSpace results (NetLogo 6.0.3),,,,
Rebellion.nlogo,,,,
experiment 03 (NetLogo),,,,
05/23/2018 04:41:59:105 +1000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,1
government-legitimacy,0.76,,,
movement?,FALSE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization,3D,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
,383,193,480,64
,418,157,481,64
,464,116,476,64
,494,58,504,64
,505,25,526,64
,496,2,558,64
,478,1,577,64
,453,0,603,64
,445,0,611,64
,420,0,636,64
,406,1,649,64
,392,2,662,64
,371,0,685,64
,354,1,701,64
,335,0,721,64
,320,0,736,64
,298,0,758,64
,278,0,778,64
,272,43,741,64
,298,132,626,64
,330,217,509,64
,367,213,476,64
,405,178,473,64
,441,135,480,64
,470,83,503,64
,496,34,526,64
,496,10,550,64
,478,6,572,64
,459,0,597,64
,433,1,622,64
,407,16,633,64
,394,20,642,64
,392,13,651,64
,393,18,645,64
,399,6,651,64
,376,1,679,64
,363,0,693,64
,354,0,702,64
,338,8,710,64
,330,1,725,64
,315,0,741,64
,294,1,761,64
,277,0,779,64
,257,0,799,64
,233,0,823,64
,214,0,842,64
,202,2,852,64
,189,0,867,64
,168,1,887,64
,152,0,904,64
,136,1,919,64
,120,0,936,64
,110,1,945,64
,105,39,912,64
,124,245,687,64
,169,411,476,64
,216,375,465,64
,264,327,465,64
,316,279,461,64
,365,228,463,64
,411,176,469,64
,451,130,475,64
,490,82,484,64
,514,22,520,64
,513,5,538,64
,499,0,557,64
,475,2,579,64
,458,3,595,64
,446,1,609,64
,431,0,625,64
,417,1,638,64
,403,0,653,64
,386,0,670,64
,374,0,682,64
,357,0,699,64
,337,0,719,64
,312,1,743,64
,296,1,759,64
,277,0,779,64
,251,0,805,64
,236,0,820,64
,220,0,836,64
,209,14,833,64
,205,86,765,64
,238,266,552,64
,275,308,473,64
,308,265,483,64
,346,233,477,64
,372,195,489,64
,403,167,486,64
,425,131,500,64
,460,100,496,64
,497,52,507,64
,500,9,547,64
,495,13,548,64
,485,9,562,64
,472,1,583,64
,453,0,603,64
,434,0,622,64
,417,1,638,64
,387,1,668,64
,370,1,685,64
,357,27,672,64
,362,63,631,64
,376,61,619,64
,391,44,621,64
,401,6,649,64
,396,2,658,64
,383,1,672,64
,359,0,697,64
,335,0,721,64
,308,1,747,64
,284,0,772,64
,259,1,796,64
,236,0,820,64
,209,0,847,64
,194,1,861,64
,175,0,881,64
,153,2,901,64
,140,9,907,64
,158,124,774,64
,205,324,527,64
,248,338,470,64
,289,296,471,64
,331,255,470,64
,379,212,465,64
,425,163,468,64
,466,109,481,64
,506,57,493,64
,529,15,512,64
,521,1,534,64
,487,0,569,64
,460,1,595,64
,438,1,617,64
,419,1,636,64
,396,1,659,64
,383,2,671,64
,366,0,690,64
,348,0,708,64
,327,4,725,64
,313,7,736,64
,312,18,726,64
,315,10,731,64
,308,8,740,64
,305,80,671,64
,332,142,582,64
,367,179,510,64
,397,170,489,64
,420,145,491,64
,448,109,499,64
,466,61,529,64
,475,24,557,64
,465,1,590,64
,447,1,608,64
,419,0,637,64
,385,4,667,64
,374,16,666,64
,361,23,672,64
,371,0,685,64
,346,2,708,64
,336,28,692,64
,337,48,671,64
,358,82,616,64
,381,109,566,64
,419,112,525,64
,456,103,497,64
,497,62,497,64
,514,23,519,64
,502,3,551,64
,482,0,574,64
,457,0,599,64
,435,0,621,64
,417,0,639,64
,395,1,660,64
,363,1,692,64
,342,0,714,64
,308,0,748,64
,281,1,774,64
,264,0,792,64
,243,2,811,64
,227,1,828,64
,202,0,854,64
,189,0,867,64
,179,1,876,64
,173,35,848,64
,207,150,699,64
,253,286,517,64
,294,290,472,64
,331,250,475,64
,370,213,473,64
,416,172,468,64
,454,122,480,64
,479,68,509,64
,495,26,535,64
,476,3,577,64
,465,1,590,64
,449,0,607,64
,419,1,636,64
,406,0,650,64
,391,4,661,64
,382,7,667,64
,384,18,654,64
,385,18,653,64
,376,0,680,64
,367,0,689,64
,351,6,699,64
,343,2,711,64
,328,0,728,64
,311,1,744,64
,294,1,761,64
,281,0,775,64
,266,0,790,64
,237,0,819,64
,218,2,836,64
,198,0,858,64
,180,0,876,64
,163,0,893,64
,148,1,907,64
,153,53,850,64
,188,249,619,64
,222,355,479,64
,262,321,473,64
,312,282,462,64
,360,232,464,64
,402,184,470,64
,441,135,480,64
,475,91,490,64
,511,37,508,64
,516,0,540,64
,493,0,563,64
,479,1,576,64
,452,0,604,64
,436,0,620,64
,412,0,644,64
,385,0,671,64
,369,2,685,64
,351,0,705,64
,326,0,730,64
,314,1,741,64
,298,0,758,64
,290,1,765,64
,277,0,779,64
,256,0,800,64
,235,1,820,64
,225,2,829,64
,207,0,849,64
,189,0,867,64
,175,0,881,64
,155,0,901,64
,126,1,929,64
,111,0,945,64
,98,0,958,64
,89,1,966,64
,77,0,979,64
,60,1,995,64
,58,1,997,64
,53,0,1003,64
,50,0,1006,64
,46,1,1009,64
,46,6,1004,64
,62,145,849,64
,112,410,534,64
,168,432,456,64
,227,375,454,64
,277,316,463,64
,332,267,457,64
,370,213,473,64
,408,175,473,64
,451,135,470,64
,485,73,498,64
,511,27,518,64
,512,4,540,64
,493,0,563,64
,474,0,582,64
,456,0,600,64
,434,0,622,64
,414,0,642,64
,401,1,654,64
,386,16,654,64
,394,41,621,64
,399,49,608,64
,416,53,587,64
,440,41,575,64
,445,28,583,64
,456,24,576,64
,447,39,570,64
,440,36,580,64
,438,11,607,64
,413,0,643,64
,380,0,676,64
,352,0,704,64
,320,0,736,64
,293,0,763,64
