JAILED,ACTIVE,QUIET,COPS
488,16,552,64
487,1,568,64
467,0,589,64
445,1,610,64
432,1,623,64
424,0,632,64
411,0,645,64
387,0,669,64
369,2,685,64
356,0,700,64
330,1,725,64
313,0,743,64
293,0,763,64
275,0,781,64
262,4,790,64
248,1,807,64
226,2,828,64
215,1,840,64
202,0,854,64
177,3,876,64
171,0,885,64
152,0,904,64
136,0,920,64
115,0,941,64
100,0,956,64
94,0,962,64
87,20,949,64
98,104,854,64
143,333,580,64
186,377,493,64
237,331,488,64
287,281,488,64
331,230,495,64
376,186,494,64
424,141,491,64
469,80,507,64
504,13,539,64
499,0,557,64
492,0,564,64
466,0,590,64
445,1,610,64
426,1,629,64
411,0,645,64
390,1,665,64
376,0,680,64
360,0,696,64
345,10,701,64
335,3,718,64
322,0,734,64
307,1,748,64
287,10,759,64
281,0,775,64
263,0,793,64
247,2,807,64
230,0,826,64
213,0,843,64
188,1,867,64
167,2,887,64
151,0,905,64
127,37,892,64
159,207,690,64
204,355,497,64
245,313,498,64
290,273,493,64
330,228,498,64
375,187,494,64
422,133,501,64
463,71,522,64
486,24,546,64
485,2,569,64
466,0,590,64
449,1,606,64
430,0,626,64
409,0,647,64
396,0,660,64
374,1,681,64
359,14,683,64
354,2,700,64
332,1,723,64
318,4,734,64
301,1,754,64
287,1,768,64
268,1,787,64
257,1,798,64
239,1,816,64
221,0,835,64
212,0,844,64
194,0,862,64
176,0,880,64
152,0,904,64
137,1,918,64
110,1,945,64
100,0,956,64
77,0,979,64
67,2,987,64
67,16,973,64
86,93,877,64
137,343,576,64
189,379,488,64
242,331,483,64
294,276,486,64
350,223,483,64
401,166,489,64
450,113,493,64
496,45,515,64
508,9,539,64
490,0,566,64
477,1,578,64
456,1,599,64
439,0,617,64
423,0,633,64
403,0,653,64
390,0,666,64
375,1,680,64
356,0,700,64
335,2,719,64
317,0,739,64
289,0,767,64
273,0,783,64
255,1,800,64
247,6,803,64
247,57,752,64
268,140,648,64
306,211,539,64
339,209,508,64
375,176,505,64
411,136,509,64
428,86,542,64
454,59,543,64
467,11,578,64
454,2,600,64
437,0,619,64
416,0,640,64
398,0,658,64
374,0,682,64
363,0,693,64
344,0,712,64
332,0,724,64
318,0,738,64
297,0,759,64
280,1,775,64
260,6,790,64
264,23,769,64
274,30,752,64
296,70,690,64
316,121,619,64
345,135,576,64
385,144,527,64
426,115,515,64
473,68,515,64
490,19,547,64
486,1,569,64
460,6,590,64
434,5,617,64
413,2,641,64
388,1,667,64
364,2,690,64
341,1,714,64
321,0,735,64
300,0,756,64
286,1,769,64
271,0,785,64
261,2,793,64
248,0,808,64
237,0,819,64
221,1,834,64
210,0,846,64
195,0,861,64
181,2,873,64
168,1,887,64
156,1,899,64
142,24,890,64
164,145,747,64
203,330,523,64
237,315,504,64
274,284,498,64
316,244,496,64
357,201,498,64
392,162,502,64
433,123,500,64
470,73,513,64
505,19,532,64
497,2,557,64
480,2,574,64
463,2,591,64
451,3,602,64
435,1,620,64
425,0,631,64
409,0,647,64
392,1,663,64
375,1,680,64
353,6,697,64
345,2,709,64
321,1,734,64
308,1,747,64
289,1,766,64
265,2,789,64
261,20,775,64
271,66,719,64
298,92,666,64
324,158,574,64
360,176,520,64
394,141,521,64
430,118,508,64
454,66,536,64
470,24,562,64
457,10,589,64
446,2,608,64
422,0,634,64
397,1,658,64
385,1,670,64
360,0,696,64
341,0,715,64
317,0,739,64
309,0,747,64
295,0,761,64
278,0,778,64
266,1,789,64
249,0,807,64
241,1,814,64
228,0,828,64
210,8,838,64
203,0,853,64
191,0,865,64
178,0,878,64
166,0,890,64
152,0,904,64
139,0,917,64
123,0,933,64
118,1,937,64
104,0,952,64
84,3,969,64
93,70,893,64
133,265,658,64
180,384,492,64
231,338,487,64
284,286,486,64
334,233,489,64
386,183,487,64
437,131,488,64
477,65,514,64
499,13,544,64
490,0,566,64
476,0,580,64
459,0,597,64
447,0,609,64
428,1,627,64
405,0,651,64
391,0,665,64
372,2,682,64
354,1,701,64
338,1,717,64
315,1,740,64
305,0,751,64
291,2,763,64
282,12,762,64
274,6,776,64
263,0,793,64
248,10,798,64
237,51,768,64
248,109,699,64
275,231,550,64
310,244,502,64
341,209,506,64
377,177,502,64
403,139,514,64
436,94,526,64
471,49,536,64
488,15,553,64
483,2,571,64
459,0,597,64
449,0,607,64
432,0,624,64
415,1,640,64
397,1,658,64
384,0,672,64
365,1,690,64
344,1,711,64
331,1,724,64
312,0,744,64
299,1,756,64
291,3,762,64
271,0,785,64
255,0,801,64
241,14,801,64
244,32,780,64
253,77,726,64
290,149,617,64
323,209,524,64
359,181,516,64
384,141,531,64
419,116,521,64
442,81,533,64
463,41,552,64
468,16,572,64
462,0,594,64
440,0,616,64
411,0,645,64
395,0,661,64
379,0,677,64
358,0,698,64
343,0,713,64
319,0,737,64
303,0,753,64
291,0,765,64
277,0,779,64
268,0,788,64
256,9,791,64
246,31,779,64
264,55,737,64
289,171,596,64
323,210,523,64
366,187,503,64
402,146,508,64
443,103,510,64
468,46,542,64
468,3,585,64
446,2,608,64
422,1,633,64
398,0,658,64
374,0,682,64
358,2,696,64
341,1,714,64
328,7,721,64
325,29,702,64
345,41,670,64
359,28,669,64
369,5,682,64
360,10,686,64
350,5,701,64
333,1,722,64
307,0,749,64
287,0,769,64
264,0,792,64
246,0,810,64
228,1,827,64
210,1,845,64
195,1,860,64
187,0,869,64
171,0,885,64
157,22,877,64
163,118,775,64
208,316,532,64
256,310,490,64
301,263,492,64
347,217,492,64
383,167,506,64
422,131,503,64
466,85,505,64
491,24,541,64
483,3,570,64
465,1,590,64
447,1,608,64
434,0,622,64
416,0,640,64
389,6,661,64
369,0,687,64
358,10,688,64
360,1,695,64
345,0,711,64
330,0,726,64
311,10,735,64
312,36,708,64
337,52,667,64
347,13,696,64
339,0,717,64
319,1,736,64
292,0,764,64
279,0,777,64
261,0,795,64
243,0,813,64
225,0,831,64
211,39,806,64
228,124,704,64
261,262,533,64
298,258,500,64
337,219,500,64
370,180,506,64
416,147,493,64
460,97,499,64
497,38,521,64
508,8,540,64
497,0,559,64
472,1,583,64
452,0,604,64
430,1,625,64
414,1,641,64
399,0,657,64
372,1,683,64
350,0,706,64
341,2,713,64
317,0,739,64
292,0,764,64
274,16,766,64
282,55,719,64
315,110,631,64
345,171,540,64
390,170,496,64
413,124,519,64
442,92,522,64
468,45,543,64
477,5,574,64
456,1,599,64
425,0,631,64
395,1,660,64
372,0,684,64
349,0,707,64
325,0,731,64
311,0,745,64
296,0,760,64
284,0,772,64
269,0,787,64
259,0,797,64
249,14,793,64
246,25,785,64
257,40,759,64
283,116,657,64
325,184,547,64
