Java Model MCSS (Evan & Shalitha),,,,
Rebellion,,,,
Rebellion experiment 08 (Java),,,,
Wed May 23 13:07:19 AEST 2018,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,39,0,39,
[run number],1,1,1,
government-legitimacy,0.76,,,
movement?,TRUE,,,
initial-agent-density,66,,,
vision,7,,,
max-jail-term,33,,,
visualization, N/A,,,
initial-cop-density,4,,,
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],,,,
[min],,,,
[max],,,,
[mean],,,,
[steps],20000,20000,20000,
,,,,
[all run data],JAILED,ACTIVE,QUIET,COPS
,318,276,462,64
,364,230,462,64
,406,179,471,64
,447,120,489,64
,487,64,505,64
,507,8,541,64
,493,4,559,64
,481,4,571,64
,470,1,585,64
,446,2,608,64
,421,3,632,64
,405,3,648,64
,391,2,663,64
,372,11,673,64
,353,20,683,64
,352,1,703,64
,333,4,719,64
,316,2,738,64
,297,1,758,64
,272,5,779,64
,258,4,794,64
,245,0,811,64
,233,1,822,64
,209,5,842,64
,192,3,861,64
,166,6,884,64
,148,5,903,64
,131,5,920,64
,112,2,942,64
,93,0,963,64
,77,3,976,64
,67,2,987,64
,61,1,994,64
,51,5,1000,64
,51,2,1003,64
,46,4,1006,64
,43,25,988,64
,51,66,939,64
,83,87,886,64
,122,342,592,64
,174,417,465,64
,227,368,461,64
,276,319,461,64
,329,266,461,64
,374,221,461,64
,423,171,462,64
,465,107,484,64
,498,60,498,64
,516,5,535,64
,502,2,552,64
,482,2,572,64
,464,4,588,64
,453,1,602,64
,435,4,617,64
,419,3,634,64
,398,3,655,64
,381,7,668,64
,361,1,694,64
,343,6,707,64
,322,5,729,64
,307,3,746,64
,281,2,773,64
,262,4,790,64
,249,4,803,64
,232,1,823,64
,214,1,841,64
,190,2,864,64
,177,1,878,64
,150,1,905,64
,135,2,919,64
,120,2,934,64
,103,3,950,64
,86,2,968,64
,73,78,905,64
,98,268,690,64
,141,454,461,64
,191,404,461,64
,239,356,461,64
,292,303,461,64
,345,250,461,64
,391,201,464,64
,435,145,476,64
,477,95,484,64
,494,35,527,64
,503,5,548,64
,480,4,572,64
